Country	Mountain	Latitude	Longitude	Elevation
India	Bodamalai Betta Mountain	11.91466	77.550616	3190 m
India	Kanjamalai Mountain	11.616795	78.066905	2512 m
India	Kalrayan Mountain	11.833625	78.668267	2501 m
India	Ninar Malai Mountain	11.316473	78.20115	1790 m
India	Kollimalai Mountain	11.332552	78.333387	1302 m
India	Pachimali Mountain	11.36429	78.600816	3087 m
India	Banori Mountain	22.481744	80.283999	1974 m
India	Maikala Mountain	22.484608	81.528057	2450 m
India	Bailadila Mountain	18.728357	81.220936	2695 m
India	Burja Gutta Mountain	18.199274	78.967143	1462 m
India	Maisama Mountain	17.6539116	78.8539488	1898 m
India	Chandragiri Mountain	18.13355	79.583904	748 m
India	Bison Hill Mountain	17.466095	81.528693	1497 m
India	Nimgiri Mountain	19.657473	83.42354	1218 m
India	Kumbhidangar Mountain	19.193755	83.849146	1350 m
India	Singraju Paravat	19.013953	84.349793	1440 m
India	Deomali Mountain	18.675794	82.981472	5285 m
India	Deva Giri	18.899017	84.066964	963 m
India	Mahendra Giri	18.966537	84.349796	885 m
India	Kappa Konda Mountain	17.94897	82.581543	4034 m
India	Nalraylu Mountain	17.71748	83.285548	77 m
India	Tummidala Metta Mountain	17.701408	83.268018	126 m
India	Yarada Konda Mountain	17.666412	83.250083	961 m
India	Golla Konda Mountain	17.656706	83.190941	497 m
India	Hila Metta Mountain	17.632823	83.230042	423 m
India	Upada Konda Mountain	17.82231	83.397267	352 m
India	Budha Buru Mountain	22.281855	85.284295	2453 m
India	Painsira Mountain	22.29805	85.366567	557 m
India	Kiri Buru Mountain	22.066128	85.251058	1372 m
India	Buru Sasangda Mountain	22.115148	85.282641	927 m
